Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Tunisia,22.8 [15.4 – 31.8],3.4 [2.3 – 4.6],4.5 [2.9 – 6.4],No,TND,1.7,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Turkey,30.4 [24.9 – 35.8],32.6 [27 – 38.1],32.6 [27 – 38.1],No,TRY,3,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Tuvalu,35.4 [25.7 – 44.6],43.6 [29.6 – 57.6],56.7 [39.9 – 75.7],No,AUD,4.5,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Uganda,19.2 [14.7 – 23.4],22 [17.2 – 27.4],26.4 [19.9 – 32.2],Not applicable,UGX,"1,000",Data not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,6
Ukraine,31.2 [26.4 – 36.8],32.9 [27.4 – 38.1],32.9 [27.4 – 38.1],No,UAH,2.5,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
United Arab Emirates,12.6 [7 – 18.5],16.4 [11 – 22],20 [12.7 – 28.7],Not applicable,AED,6.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
United Kingdom of Great Britain and Northern Ireland,26.6 [20.9 – 32.6],30.3 [23.6 – 37.1],30.3 [23.6 – 37.1],No,GBP,5.67,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
United Republic of Tanzania,13 [8.9 – 17.4],3 [1.8 – 4.5],32.6 [22.6 – 42.2],No,TZS,"1,400",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
United States of America,21.5 [18.3 – 25],25.1 [20.9 – 29.8],29.1 [24 – 34.8],Not applicable,USD,4.58,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Uruguay,27.8 [22.6 – 33.3],31.1 [26 – 37.1],31.1 [26 – 37.1],Yes,UYU,45,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Uzbekistan,11.9 [9 – 15.2],14.4 [10.8 – 18.4],14.4 [10.8 – 18.4],No,UZS,700,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Vanuatu,3 [1.6 – 4.6],3.6 [2.2 – 5.2],4.2 [2.5 – 6.3],Not applicable,VUV,640,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Yemen,24.6 [11.8 – 39.2],21.7 [13.4 – 32.3],26.2 [14.2 – 39.2],No,YER,150,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Zambia,13.2 [10.5 – 16.3],27.3 [21.8 – 33.4],29 [23.4 – 34.3],No,ZMK,"5,500",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Zimbabwe,12.9 [10 – 16],2.1 [1.4 – 3],2.1 [1.4 – 3],No,USD,0.4,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,6
