Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Turkey,28.8 [23.7 – 34.2],31 [25.7 – 36.4],31 [25.7 – 36.4],No,TRY,6.5,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Tuvalu,33.1 [23.1 – 43.8],40.8 [28.7 – 55],52.9 [36.2 – 71.9],No,AUD,6,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7
Uganda,15.3 [12.1 – 18.9],17.5 [14 – 21.5],20.8 [16.2 – 25.4],Not applicable,UGX,"2,500",Data not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,6
Ukraine,27.8 [23.1 – 33.1],29.3 [24.6 – 34],29.3 [24.6 – 34],Yes,UAH,7.5,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
United Arab Emirates,11.8 [7 – 18.3],15.5 [10.2 – 21.6],19.1 [12.8 – 28],Yes,AED,8,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
United Kingdom of Great Britain and Northern Ireland,20.7 [17.5 – 24.3],23.7 [19.2 – 28.1],23.7 [19.2 – 28.1],No,GBP,6.6,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
United Republic of Tanzania,10.7 [7.8 – 13.9],2.5 [1.5 – 3.5],28 [20.4 – 35.1],No,TZS,"2,500",Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
United States of America,19.5 [16.5 – 23],22.6 [18.3 – 26.3],27.2 [22.4 – 32.3],No,USD,6.07,Yes in some,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Uruguay,23.6 [18.7 – 28.4],26.4 [21.2 – 31.6],26.4 [21.2 – 31.6],Yes,UYU,75,Yes in most,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10
Uzbekistan,11 [7.2 – 14.3],13.4 [9.9 – 17.4],13.4 [9.9 – 17.4],No,UZS,"1,700",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Vanuatu,2.7 [1.5 – 4.2],3.2 [2.1 – 4.8],3.7 [2.2 – 5.3],Not applicable,VUV,700,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Yemen,22.5 [11.2 – 36.8],29.4 [17.6 – 45.5],23.5 [13.1 – 35.6],Yes,YER,250,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable
Zambia,12.3 [9.7 – 14.9],25.7 [21.1 – 31.4],27.2 [22.9 – 33.4],No,ZMK,"8,000",No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,3
Zimbabwe,12.1 [9.4 – 15],15.2 [11.1 – 18.9],15.2 [11.1 – 18.9],No,USD,1,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,9
