Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments
Tunisia,19.5 [11.5 – 27.1],24.5 [18.1 – 31],3.4 [2.1 – 4.9],No,TND,2.55,Yes in most,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Turkey,28.3 [23.3 – 33.9],30.4 [25 – 35.7],30.4 [25 – 35.7],No,TRY,8,Yes in some,10,8,10,8,10,6,8,8,10
Tuvalu,32.2 [21.6 – 45.3],39.4 [25.7 – 53.2],51.4 [35.8 – 71.3],No,AUD,2.5,Yes in most,Not applicable,8,Not applicable,Not applicable,8,0,6,Not applicable,6
Uganda,13.9 [11.2 – 17.1],3.3 [2.3 – 4.3],18.8 [14.7 – 23.1],Not applicable,UGX,"2,500",No,10,8,10,8,Not applicable,Not applicable,Not applicable,5,4
Ukraine,26.6 [21.5 – 31],28 [23.5 – 32.8],28 [23.5 – 32.8],Yes,UAH,9,Yes in some,7,5,7,Not applicable,10,Not available,5,5,3
United Arab Emirates,11.7 [6.1 – 18.1],15.2 [9.2 – 22.1],18.9 [11.8 – 27.2],Yes,AED,10,Yes in some,Not available,Not applicable,Not available,Not applicable,Not applicable,Not applicable,Not applicable,Not available,Not available
United Kingdom of Great Britain and Northern Ireland,19.3 [16.1 – 22.7],22 [17.9 – 26.6],22 [17.9 – 26.6],No,GBP,7.52,Yes in most,10,10,10,10,10,10,10,10,10
United Republic of Tanzania,10 [7.2 – 13],2.3 [1.3 – 3.3],26.3 [20.2 – 33.9],Not applicable,TZS,"3,500",Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
United States of America,18.5 [15.3 – 21.7],21.7 [18 – 25.6],26.4 [21.6 – 31.6],No,USD,6.23,Yes in some,Not applicable,Not available,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not available
Uruguay,22.2 [17.5 – 27.3],24.7 [19.6 – 29.6],24.7 [19.6 – 29.6],Yes,UYU,78,Yes in most,10,8,8,7,10,8,10,7,10
Uzbekistan,10.7 [6.9 – 14.4],13 [9.1 – 16.9],13 [9.1 – 16.9],No,UZS,"2,200",Yes in some,Not applicable,Not applicable,Not applicable,Not applicable,6,Not applicable,Not applicable,Not applicable,4
Vanuatu,2.6 [1.4 – 4.1],3.1 [1.9 – 4.6],3.6 [2.1 – 5.3],Not applicable,VUV,720,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Yemen,21.8 [9.4 – 35.1],28.5 [14.9 – 43.1],22.6 [12.1 – 34.9],Yes,YER,280,No,5,2,5,3,4,Not applicable,Not applicable,3,4
Zambia,12.1 [9.5 – 14.5],25.3 [20.4 – 30.2],26.5 [21.3 – 32.2],No,ZMW,9,No,0,1,5,Not applicable,5,3,5,0,3
Zimbabwe,11.7 [9.1 – 15],14.7 [10.5 – 18.9],14.7 [10.5 – 18.9],No,USD,1.3,No,8,Not applicable,10,Not applicable,10,Not applicable,Not applicable,5,10
